Country,Combustible Fuel Power,Hydropower,Solar Power
Afghanistan,15.3,84.7,0.0
Armenia,37.0,29.2,0.0
Azerbaijan,92.6,7.2,0.2
Georgia,17.4,81.9,0.0
Kazakhstan,88.7,10.9,0.1
Kyrgyz Republic,8.5,91.5,0.0
Pakistan,70.1,20.5,0.5
Tajikistan,6.8,93.2,0.0
Turkmenistan,100.0,0.0,0.0
Uzbekistan,86.2,13.8,0.0
China,71.8,18.3,1.5
Hong Kong,100.0,0.0,0.0
Korea,70.6,1.2,1.2
Mongolia,100.0,0.0,0.0
Bangladesh,98.3,1.4,0.2
Bhutan,0.0,100.0,0.0
India,81.7,8.5,1.7
Maldives,97.6,0.0,2.1
Nepal,0.0,99.8,0.0
Sri Lanka,69.2,26.9,1.4
Brunei Darussalam,100.0,0.0,0.0
Cambodia,60.9,39.1,0.1
Indonesia,88.8,6.6,0.0
Lao People's Democratic Republic,37.0,62.9,0.0
Malaysia,83.6,16.2,0.2
Myanmar,43.9,56.1,0.0
Philippines,76.8,10.1,1.3
Singapore,99.7,0.0,0.3
Thailand,91.9,5.1,2.4
Timor-Leste,100.0,0.0,0.0
Viet Nam,55.1,44.8,0.0
Cook Islands,90.2,0.0,9.8
Fiji,44.9,54.9,0.0
Kiribati,84.0,0.0,16.0
Marshall Islands,97.8,0.0,2.2
Micronesia,97.2,0.2,2.6
Nauru,96.6,0.0,3.4
Niue,97.9,0.0,2.1
Palau,99.8,0.0,0.2
Papua New Guinea,71.3,19.4,0.0
Samoa,66.2,22.3,10.8
Solomon Islands,98.7,0.4,0.8
Tonga,93.3,0.0,6.7
Tuvalu,59.3,0.0,38.4
Vanuatu,79.5,9.6,3.4
Australia,85.7,6.3,3.1
Japan,80.6,8.4,5.2
New Zealand,20.0,57.0,0.2
